order_date,total_orders,revenue,avg_order_value
2022-03-11,9,2004.32,222.70222222222222
2022-03-12,3,418.75,139.58333333333334
2022-03-13,4,1260.95,315.2375
2022-03-14,7,1349.13,192.73285714285717
2022-03-15,13,5427.36,417.48923076923074
2022-03-16,7,1822.78,260.39714285714285
2022-03-17,7,1522.23,217.46142857142857
2022-03-18,9,2007.85,223.09444444444443
2022-03-19,9,2685.37,298.3744444444444
2022-03-20,9,2378.79,264.31
2022-03-21,8,1574.52,196.815
2022-03-22,8,2499.87,312.48375
2022-03-23,6,1653.27,275.545
2022-03-24,4,1693.51,423.3775
2022-03-25,8,2109.33,263.66625
2022-03-26,3,1105.31,368.43666666666667
2022-03-27,4,1904.18,476.045
2022-03-28,9,1970.06,218.89555555555555
2022-03-29,5,2995.7000000000003,599.1400000000001
2022-03-30,9,2206.1,245.1222222222222
2022-03-31,9,3182.78,353.64222222222224
2022-04-01,14,4143.9,295.99285714285713
2022-04-02,6,2396.88,399.48
2022-04-03,5,725.46,145.092
2022-04-04,11,3600.82,327.34727272727275
2022-04-05,10,2908.05,290.805
2022-04-06,10,1846.69,184.669
2022-04-07,8,1900.66,237.5825
2022-04-08,8,1053.97,131.74625
2022-04-09,3,1099.3799999999999,366.46
2022-04-10,8,1643.45,205.43125
2022-04-11,5,4191.55,838.3100000000001
2022-04-12,9,2218.92,246.54666666666668
2022-04-13,7,1810.03,258.5757142857143
2022-04-14,7,1266.5,180.92857142857142
2022-04-15,9,1908.42,212.04666666666668
2022-04-16,7,2238.28,319.75428571428574
2022-04-17,3,665.4,221.79999999999998
2022-04-18,8,2604.62,325.5775
2022-04-19,4,1632.99,408.2475
2022-04-20,5,1606.36,321.272
2022-04-21,6,972.1,162.01666666666668
2022-04-22,10,2039.3999999999999,203.94
2022-04-23,5,1484.94,296.988
2022-04-24,10,3527.12,352.712
2022-04-25,8,1879.52,234.94
2022-04-26,7,1776.48,253.78285714285715
2022-04-27,6,1124.44,187.40666666666667
2022-04-28,5,2176.58,435.316
2022-04-29,3,262.65,87.55
2022-04-30,10,3094.33,309.433
2022-05-01,6,1517.8799999999999,252.98
2022-05-02,10,2552.43,255.243
2022-05-03,12,2789.76,232.48000000000002
2022-05-04,6,3143.15,523.8583333333333
2022-05-05,8,2792.66,349.0825
2022-05-06,9,2824.39,313.8211111111111
2022-05-07,7,1594.34,227.76285714285714
2022-05-08,6,1361.97,226.995
2022-05-09,6,1888.3700000000001,314.72833333333335
2022-05-10,4,789.59,197.3975
2022-05-11,13,5975.900000000001,459.6846153846154
2022-05-12,10,1449.49,144.949
2022-05-13,13,3841.63,295.51
2022-05-14,6,1480.83,246.80499999999998
2022-05-15,9,2541.38,282.3755555555556
2022-05-16,14,3601.06,257.2185714285714
2022-05-17,4,528.1,132.025
2022-05-18,8,2580.63,322.57875
2022-05-19,8,1740.8700000000001,217.60875000000001
2022-05-20,8,3344.4,418.05
2022-05-21,12,3137.4,261.45
2022-05-22,3,940.51,313.50333333333333
2022-05-23,8,4059.7,507.4625
2022-05-24,7,1629.98,232.8542857142857
2022-05-25,7,1789.34,255.61999999999998
2022-05-26,14,6522.639999999999,465.9028571428571
2022-05-27,6,2034.77,339.12833333333333
2022-05-28,10,4083.55,408.355
2022-05-29,10,4580.349999999999,458.03499999999997
2022-05-30,6,1349.72,224.95333333333335
2022-05-31,7,1912.14,273.16285714285715
2022-06-01,8,2897.4,362.175
2022-06-02,6,2265.92,377.65333333333336
2022-06-03,10,3264.35,326.435
2022-06-04,10,3373.68,337.368
2022-06-05,8,4068.37,508.54625
2022-06-06,9,6170.78,685.6422222222222
2022-06-07,6,1333.84,222.30666666666664
2022-06-08,8,4418.13,552.26625
2022-06-09,7,2710.7599999999998,387.25142857142856
2022-06-10,5,2408.0099999999998,481.602
2022-06-11,9,4090.9700000000003,454.55222222222227
2022-06-12,6,2711.85,451.97499999999997
2022-06-13,6,2319.53,386.58833333333337
2022-06-14,9,2290.84,254.5377777777778
2022-06-15,12,5356.92,446.41
2022-06-16,4,1063.89,265.9725
2022-06-17,7,3970.82,567.26
2022-06-18,6,2922.18,487.03
2022-06-19,9,3627.17,403.0188888888889
2022-06-20,8,1781.29,222.66125
2022-06-22,5,2913.75,582.75
2022-06-23,7,2554.02,364.86
2022-06-24,8,5498.21,687.27625
2022-06-25,7,4427.65,632.5214285714285
2022-06-26,10,3694.0299999999997,369.40299999999996
2022-06-27,5,2543.25,508.65
2022-06-28,4,1359.93,339.9825
2022-06-29,6,1394.1100000000001,232.3516666666667
2022-06-30,6,3408.18,568.03
2022-07-01,10,5624.19,562.419
2022-07-02,10,4094.04,409.404
2022-07-03,9,4144.99,460.5544444444444
2022-07-04,8,2379.27,297.40875
2022-07-05,10,4508.44,450.84399999999994
2022-07-06,6,3038.9,506.48333333333335
2022-07-07,10,4887.62,488.762
2022-07-08,6,3027.92,504.65333333333336
2022-07-09,2,600.25,300.125
2022-07-10,6,1661.69,276.9483333333333
2022-07-11,10,3950.98,395.098
2022-07-12,6,1445.82,240.97
2022-07-13,6,2564.71,427.45166666666665
2022-07-14,4,1207.19,301.7975
2022-07-15,12,3221.23,268.43583333333333
2022-07-16,7,3156.95,450.99285714285713
2022-07-17,13,5609.36,431.48923076923074
2022-07-18,5,1639.51,327.902
2022-07-19,5,2478.5699999999997,495.71399999999994
2022-07-20,4,2107.85,526.9625
2022-07-21,8,3647.12,455.89
2022-07-22,14,8752.8,625.1999999999999
2022-07-23,8,4736.2,592.025
2022-07-24,5,1508.83,301.76599999999996
2022-07-25,9,5281.42,586.8244444444445
2022-07-26,9,5770.0599999999995,641.1177777777777
2022-07-27,13,6273.400000000001,482.5692307692308
2022-07-28,7,2943.45,420.49285714285713
2022-07-29,7,3336.3700000000003,476.62428571428575
2022-07-30,7,3342.26,477.46571428571434
2022-07-31,4,1073.75,268.4375
2022-08-01,11,4339.21,394.4736363636364
2022-08-02,7,1656.14,236.5914285714286
2022-08-03,3,1250.63,416.8766666666667
2022-08-04,8,2908.7599999999998,363.59499999999997
2022-08-05,5,1599.23,319.846
2022-08-06,3,2141.79,713.93
2022-08-07,4,979.85,244.9625
2022-08-08,5,3788.5699999999997,757.7139999999999
2022-08-09,9,4690.86,521.2066666666666
2022-08-10,4,1431.02,357.755
2022-08-11,6,2086.73,347.78833333333336
2022-08-12,8,2860.84,357.605
2022-08-13,5,2179.4700000000003,435.89400000000006
2022-08-14,6,2317.42,386.2366666666667
2022-08-15,6,1716.1399999999999,286.0233333333333
2022-08-16,7,2662.16,380.3085714285714
2022-08-17,8,5409.7,676.2125
2022-08-18,6,2863.54,477.25666666666666
2022-08-19,6,3295.86,549.3100000000001
2022-08-20,4,2775.31,693.8275
2022-08-21,10,4259.09,425.909
2022-08-22,6,1857.86,309.6433333333333
2022-08-23,7,3514.65,502.09285714285716
2022-08-24,6,1572.81,262.135
2022-08-25,5,2534.7,506.93999999999994
2022-08-26,9,1916.21,212.91222222222223
2022-08-27,11,5278.41,479.8554545454545
2022-08-28,5,2113.58,422.716
2022-08-29,3,1000.78,333.5933333333333
2022-08-30,5,2835.8,567.1600000000001
2022-08-31,8,4695.85,586.98125
2022-09-01,6,1353.53,225.58833333333334
2022-09-02,9,3109.1,345.4555555555555
2022-09-03,5,800.5799999999999,160.11599999999999
2022-09-04,9,2238.2,248.68888888888887
2022-09-05,13,3247.5,249.80769230769232
2022-09-06,8,2944.36,368.045
2022-09-07,4,1550.24,387.56
2022-09-08,5,1307.42,261.48400000000004
2022-09-09,14,5338.66,381.3328571428571
2022-09-10,5,1947.52,389.504
2022-09-11,9,2353.08,261.4533333333333
2022-09-12,8,2466.04,308.255
2022-09-13,4,2881.9300000000003,720.4825000000001
2022-09-14,4,861.66,215.415
2022-09-15,14,4018.65,287.0464285714286
2022-09-16,5,991.14,198.228
2022-09-17,9,1897.6699999999998,210.8522222222222
2022-09-18,6,1106.67,184.44500000000002
2022-09-19,4,2788.3799999999997,697.0949999999999
2022-09-20,8,3018.7,377.3375
2022-09-21,7,2142.2,306.0285714285714
2022-09-22,3,849.06,283.02
2022-09-23,6,2136.42,356.07
2022-09-24,4,1469.3999999999999,367.34999999999997
2022-09-25,11,2657.69,241.60818181818183
2022-09-26,9,2730.95,303.43888888888887
2022-09-27,6,1779.98,296.66333333333336
2022-09-28,6,1236.24,206.04
2022-09-29,6,903.46,150.57666666666668
2022-09-30,5,2698.93,539.786
2022-10-01,5,770.6899999999999,154.13799999999998
2022-10-02,8,3787.84,473.48
2022-10-03,12,3991.9,332.65833333333336
2022-10-04,10,3829.48,382.948
2022-10-05,6,2077.67,346.27833333333336
2022-10-06,3,912.22,304.0733333333333
2022-10-07,8,3403.75,425.46875
2022-10-08,4,1327.05,331.7625
2022-10-09,7,857.81,122.5442857142857
2022-10-10,9,2610.19,290.0211111111111
2022-10-11,7,2303.31,329.0442857142857
2022-10-12,4,984.76,246.19
2022-10-13,7,2848.5099999999998,406.92999999999995
2022-10-14,10,3743.99,374.399
2022-10-15,5,1303.5600000000002,260.71200000000005
2022-10-16,5,692.15,138.43
2022-10-17,14,3199.86,228.5614285714286
2022-10-18,8,2734.0,341.75
2022-10-19,10,4749.0,474.9
2022-10-20,16,3724.54,232.78375
2022-10-21,6,2976.01,496.0016666666667
2022-10-22,6,2712.2599999999998,452.0433333333333
2022-10-23,7,2027.76,289.68
2022-10-24,10,2051.97,205.19699999999997
2022-10-25,8,2910.3,363.7875
2022-10-26,10,2336.46,233.64600000000002
2022-10-27,7,2053.6,293.37142857142857
2022-10-28,3,546.59,182.1966666666667
2022-10-29,3,1399.37,466.45666666666665
2022-10-30,9,3572.29,396.9211111111111
2022-10-31,2,1246.26,623.13
2022-11-01,13,4443.29,341.79153846153844
2022-11-02,6,2946.14,491.0233333333333
2022-11-03,9,3416.21,379.5788888888889
2022-11-04,8,4775.93,596.99125
2022-11-05,9,3659.84,406.6488888888889
2022-11-06,4,1165.79,291.4475
2022-11-07,4,894.63,223.6575
2022-11-08,13,5569.8,428.44615384615383
2022-11-09,8,2776.82,347.1025
2022-11-10,7,3492.12,498.8742857142857
2022-11-11,3,1089.93,363.31
2022-11-12,12,4126.75,343.8958333333333
2022-11-13,6,3815.48,635.9133333333333
2022-11-14,8,3209.9,401.2375
2022-11-15,7,2364.12,337.7314285714286
2022-11-16,6,2028.1599999999999,338.02666666666664
2022-11-17,4,2154.03,538.5075
2022-11-18,7,3936.96,562.4228571428572
2022-11-19,6,2385.91,397.65166666666664
2022-11-20,13,7853.48,604.1138461538461
2022-11-21,5,1730.97,346.194
2022-11-22,11,3119.05,283.55
2022-11-23,8,3095.09,386.88625
2022-11-24,9,3350.17,372.24111111111114
2022-11-25,13,6254.5,481.11538461538464
2022-11-26,9,3736.63,415.18111111111114
2022-11-27,4,1400.52,350.13
2022-11-28,6,1727.49,287.915
2022-11-29,6,4099.73,683.2883333333333
2022-11-30,5,1593.82,318.764
2022-12-01,5,2672.37,534.4739999999999
2022-12-02,4,2591.31,647.8275
2022-12-03,10,5787.7,578.77
2022-12-04,8,3464.66,433.0825
2022-12-05,5,863.5899999999999,172.718
2022-12-06,7,2664.07,380.5814285714286
2022-12-07,4,2491.69,622.9225
2022-12-08,3,1082.27,360.75666666666666
2022-12-09,9,4123.37,458.15222222222224
2022-12-10,9,4406.18,489.5755555555556
2022-12-11,11,5136.21,466.9281818181818
2022-12-12,7,1846.3999999999999,263.77142857142854
2022-12-13,12,5777.81,481.4841666666667
2022-12-14,7,2977.19,425.3128571428571
2022-12-15,7,2619.64,374.2342857142857
2022-12-16,6,1150.11,191.68499999999997
2022-12-17,3,1021.68,340.56
2022-12-18,8,3022.98,377.8725
2022-12-19,3,2596.38,865.46
2022-12-20,14,5760.89,411.4921428571429
2022-12-21,10,4232.75,423.275
2022-12-22,7,4819.0,688.4285714285714
2022-12-23,8,3221.4300000000003,402.67875000000004
2022-12-24,10,5241.89,524.1890000000001
2022-12-25,6,1973.99,328.99833333333333
2022-12-26,14,8843.86,631.7042857142858
2022-12-27,10,3905.56,390.556
2022-12-28,5,2383.45,476.68999999999994
2022-12-29,11,5892.56,535.6872727272728
2022-12-30,10,2923.61,292.361
2022-12-31,11,4620.03,420.00272727272727
2023-01-01,7,2579.05,368.4357142857143
2023-01-02,6,1440.42,240.07000000000002
2023-01-03,6,2637.24,439.53999999999996
2023-01-04,10,5728.110000000001,572.811
2023-01-05,14,7568.7,540.6214285714285
2023-01-06,5,2058.5,411.7
2023-01-07,10,5532.22,553.222
2023-01-08,8,5563.81,695.47625
2023-01-09,7,3336.62,476.65999999999997
2023-01-10,7,2068.92,295.56
2023-01-11,10,5479.36,547.9359999999999
2023-01-12,9,3967.66,440.8511111111111
2023-01-13,4,2908.3,727.075
2023-01-14,8,3776.48,472.06
2023-01-15,6,1835.95,305.9916666666667
2023-01-16,20,9148.94,457.447
2023-01-17,8,3958.14,494.7675
2023-01-18,12,5658.65,471.5541666666666
2023-01-19,10,4724.72,472.47200000000004
2023-01-20,9,2396.41,266.2677777777778
2023-01-21,10,4415.51,441.55100000000004
2023-01-22,10,4120.55,412.055
2023-01-23,9,3235.57,359.5077777777778
2023-01-24,9,7641.72,849.08
2023-01-25,10,4883.67,488.367
2023-01-26,7,4375.8,625.1142857142858
2023-01-27,5,1596.56,319.312
2023-01-28,10,3537.5,353.75
2023-01-29,6,1838.87,306.4783333333333
2023-01-30,9,3779.0,419.8888888888889
2023-01-31,7,4263.58,609.0828571428572
2023-02-01,12,6007.15,500.5958333333333
2023-02-02,5,1837.15,367.43
2023-02-03,10,4070.86,407.086
2023-02-04,7,2051.37,293.05285714285714
2023-02-05,6,2537.18,422.8633333333333
2023-02-06,8,4644.65,580.58125
2023-02-07,6,1517.3999999999999,252.89999999999998
2023-02-08,4,1779.5500000000002,444.88750000000005
2023-02-09,6,4384.59,730.765
2023-02-10,9,4081.36,453.4844444444445
2023-02-11,9,6092.67,676.9633333333334
2023-02-12,6,2364.98,394.16333333333336
2023-02-13,4,3371.75,842.9375
2023-02-14,7,5037.26,719.6085714285715
2023-02-15,10,5906.37,590.637
2023-02-16,6,3816.35,636.0583333333333
2023-02-17,5,2098.65,419.73
2023-02-18,3,1142.39,380.7966666666667
2023-02-19,6,1955.6,325.93333333333334
2023-02-20,9,4150.7,461.18888888888887
2023-02-21,6,3605.4500000000003,600.9083333333334
2023-02-22,5,1425.75,285.15
2023-02-23,15,4666.2300000000005,311.08200000000005
2023-02-24,8,4035.5,504.4375
2023-02-25,9,4126.33,458.4811111111111
2023-02-26,11,5556.13,505.1027272727273
2023-02-27,4,1913.73,478.4325
2023-02-28,7,4428.58,632.6542857142857
2023-03-01,4,1034.49,258.6225
2023-03-02,7,1448.91,206.98714285714286
2023-03-03,12,3499.61,291.63416666666666
2023-03-04,9,2799.83,311.09222222222223
2023-03-05,13,5123.81,394.1392307692308
2023-03-06,8,2333.52,291.69
2023-03-07,11,3627.7799999999997,329.7981818181818
2023-03-08,11,2402.94,218.44909090909093
2023-03-09,7,1480.81,211.5442857142857
2023-03-10,10,2111.46,211.14600000000002
2023-03-11,4,860.14,215.035
2023-03-12,6,928.3,154.71666666666667
2023-03-13,12,3029.84,252.48666666666668
2023-03-14,3,633.24,211.08
2023-03-15,14,5428.92,387.78000000000003
2023-03-16,8,1555.72,194.465
2023-03-17,4,1717.92,429.48
2023-03-18,16,3676.0,229.75
2023-03-19,5,1575.8999999999999,315.17999999999995
2023-03-20,3,1189.04,396.34666666666664
2023-03-21,9,2250.18,250.01999999999998
2023-03-22,3,1293.02,431.00666666666666
2023-03-23,5,1980.1100000000001,396.02200000000005
2023-03-24,9,2597.39,288.5988888888889
2023-03-25,5,2807.49,561.4979999999999
2023-03-26,6,1398.8,233.13333333333333
2023-03-27,4,843.4200000000001,210.85500000000002
2023-03-28,6,2281.02,380.17
2023-03-29,5,1342.99,268.598
2023-03-30,4,1997.58,499.395
2023-03-31,6,1583.2,263.8666666666667
2023-04-01,7,1604.01,229.1442857142857
2023-04-02,8,1439.68,179.96
2023-04-03,5,1388.55,277.71
2023-04-04,7,2444.64,349.2342857142857
2023-04-05,9,2264.63,251.62555555555556
2023-04-06,5,1197.93,239.586
2023-04-07,5,2700.4,540.08
2023-04-08,8,2234.61,279.32625
2023-04-09,3,708.5699999999999,236.18999999999997
2023-04-10,7,1870.12,267.15999999999997
2023-04-11,7,1359.17,194.16714285714286
2023-04-12,8,1600.3799999999999,200.04749999999999
2023-04-13,11,2854.44,259.49454545454546
2023-04-14,6,1602.1499999999999,267.025
2023-04-15,9,2873.14,319.23777777777775
2023-04-16,11,2836.05,257.82272727272726
2023-04-17,2,444.65,222.325
2023-04-18,10,2815.55,281.555
2023-04-19,8,1702.23,212.77875
2023-04-20,11,3160.3,287.3
2023-04-21,4,1719.9299999999998,429.98249999999996
2023-04-22,8,2160.11,270.01375
2023-04-23,8,2294.33,286.79125
2023-04-24,7,1196.06,170.8657142857143
2023-04-25,7,3025.4,432.2
2023-04-26,8,3469.4,433.675
2023-04-27,9,4447.95,494.21666666666664
2023-04-28,4,1498.68,374.67
2023-04-29,2,418.58,209.29
2023-04-30,8,3663.1600000000003,457.89500000000004
2023-05-01,9,1767.82,196.42444444444445
2023-05-02,13,4651.92,357.84000000000003
2023-05-03,4,1096.67,274.1675
2023-05-04,9,2869.09,318.7877777777778
2023-05-05,10,3728.26,372.826
2023-05-06,4,1958.1399999999999,489.53499999999997
2023-05-07,8,1830.8,228.85
2023-05-08,11,2443.21,222.11
2023-05-09,7,2152.08,307.44
2023-05-10,11,3885.67,353.2427272727273
2023-05-11,10,3563.03,356.303
2023-05-12,9,2361.46,262.38444444444445
2023-05-13,5,1041.94,208.388
2023-05-14,7,2514.29,359.1842857142857
2023-05-15,6,3038.97,506.49499999999995
2023-05-16,10,3565.92,356.592
2023-05-17,6,2204.95,367.4916666666666
2023-05-18,9,3438.62,382.06888888888886
2023-05-19,3,948.73,316.24333333333334
2023-05-20,4,633.78,158.445
2023-05-21,6,1320.13,220.02166666666668
2023-05-22,4,747.36,186.84
2023-05-23,8,2784.75,348.09375
2023-05-24,7,1154.85,164.97857142857143
2023-05-25,8,1989.3899999999999,248.67374999999998
2023-05-26,9,1650.3300000000002,183.37
2023-05-27,6,1413.12,235.51999999999998
2023-05-28,5,4496.74,899.348
2023-05-29,10,3036.2799999999997,303.628
2023-05-30,8,3023.54,377.9425
2023-05-31,6,1025.03,170.83833333333334
2023-06-01,7,3963.93,566.2757142857142
2023-06-02,6,5155.75,859.2916666666666
2023-06-03,9,6393.71,710.4122222222222
2023-06-04,5,948.01,189.602
2023-06-05,5,2259.1800000000003,451.83600000000007
2023-06-06,3,660.83,220.27666666666667
2023-06-07,9,2271.91,252.43444444444444
2023-06-08,6,2635.87,439.31166666666667
2023-06-09,5,2442.59,488.51800000000003
2023-06-10,4,1636.02,409.005
2023-06-11,6,3313.68,552.28
2023-06-12,8,5217.14,652.1425
2023-06-13,4,1371.44,342.86
2023-06-14,4,1221.21,305.3025
2023-06-15,6,2221.68,370.28
2023-06-16,10,3993.43,399.34299999999996
2023-06-17,8,3790.67,473.83375
2023-06-18,9,3542.06,393.5622222222222
2023-06-19,11,4785.66,435.06
2023-06-20,9,4193.11,465.90111111111105
2023-06-21,4,3600.2999999999997,900.0749999999999
2023-06-22,5,3448.2200000000003,689.644
2023-06-23,4,794.82,198.705
2023-06-24,5,2190.99,438.198
2023-06-25,8,2161.2,270.15
2023-06-26,6,2583.08,430.5133333333333
2023-06-27,6,2497.85,416.30833333333334
2023-06-28,12,5458.63,454.8858333333333
2023-06-29,4,858.37,214.5925
2023-06-30,5,1876.21,375.242
2023-07-01,9,4447.63,494.18111111111114
2023-07-02,6,981.3100000000001,163.55166666666668
2023-07-03,4,1455.42,363.855
2023-07-04,11,7079.53,643.5936363636364
2023-07-05,10,3576.08,357.608
2023-07-06,9,7256.26,806.2511111111112
2023-07-07,4,2363.7599999999998,590.9399999999999
2023-07-08,6,4839.0,806.5
2023-07-09,6,3820.41,636.735
2023-07-10,8,3494.71,436.83875
2023-07-11,12,5954.68,496.22333333333336
2023-07-12,7,2714.27,387.7528571428571
2023-07-13,12,6260.12,521.6766666666666
2023-07-14,7,1903.25,271.89285714285717
2023-07-15,12,5880.98,490.08166666666665
2023-07-16,4,1205.31,301.3275
2023-07-17,11,4612.74,419.34
2023-07-18,8,2815.37,351.92125
2023-07-19,12,3996.57,333.0475
2023-07-20,7,2797.9300000000003,399.70428571428573
2023-07-21,8,2902.76,362.845
2023-07-22,8,6147.88,768.485
2023-07-23,13,6653.23,511.786923076923
2023-07-24,8,3951.32,493.915
2023-07-25,11,3886.04,353.2763636363636
2023-07-26,10,5498.3,549.83
2023-07-27,8,3732.09,466.51125
2023-07-28,5,1451.85,290.37
2023-07-29,7,3115.2799999999997,445.03999999999996
2023-07-30,5,2047.56,409.512
2023-07-31,9,3933.42,437.0466666666667
2023-08-01,4,1452.58,363.145
2023-08-02,10,2858.49,285.849
2023-08-03,7,3483.0,497.57142857142856
2023-08-04,4,1606.78,401.695
2023-08-05,7,2500.17,357.1671428571429
2023-08-06,6,2989.35,498.22499999999997
2023-08-07,5,1504.01,300.802
2023-08-08,7,2651.9,378.84285714285716
2023-08-09,6,911.66,151.94333333333333
2023-08-10,4,1129.78,282.445
2023-08-11,5,1506.52,301.304
2023-08-12,5,1527.51,305.502
2023-08-13,4,1391.71,347.9275
2023-08-14,11,3719.14,338.1036363636363
2023-08-15,7,4194.26,599.1800000000001
2023-08-16,8,3826.39,478.29875
2023-08-17,8,3927.9500000000003,490.99375000000003
2023-08-18,5,3186.3199999999997,637.2639999999999
2023-08-19,7,2915.87,416.55285714285714
2023-08-20,13,5626.92,432.84000000000003
2023-08-21,6,2556.35,426.05833333333334
2023-08-22,8,4137.3,517.1625
2023-08-23,7,3746.68,535.24
2023-08-24,12,4131.49,344.2908333333333
2023-08-25,6,2928.59,488.09833333333336
2023-08-26,4,2259.04,564.76
2023-08-27,7,2601.54,371.6485714285714
2023-08-28,7,3567.5099999999998,509.6442857142857
2023-08-29,3,2169.57,723.19
2023-08-30,9,2424.97,269.44111111111107
2023-08-31,8,4402.47,550.30875
2023-09-01,7,1570.38,224.34
2023-09-02,7,1445.19,206.4557142857143
2023-09-03,9,1644.67,182.7411111111111
2023-09-04,7,1697.97,242.56714285714287
2023-09-05,9,969.2099999999999,107.69
2023-09-06,8,2150.05,268.75625
2023-09-07,8,2000.79,250.09875
2023-09-08,6,2741.53,456.9216666666667
2023-09-09,2,1053.78,526.89
2023-09-10,3,431.3,143.76666666666668
2023-09-11,9,1394.6599999999999,154.9622222222222
2023-09-12,5,1334.7,266.94
2023-09-13,8,1613.26,201.6575
2023-09-14,10,5620.18,562.018
2023-09-15,14,4002.22,285.87285714285713
2023-09-16,9,1600.71,177.85666666666668
2023-09-17,4,2068.17,517.0425
2023-09-18,6,928.09,154.68166666666667
2023-09-19,9,3122.3,346.9222222222222
2023-09-20,7,2360.89,337.27
2023-09-21,5,2827.75,565.55
2023-09-22,10,4845.03,484.503
2023-09-23,10,2579.34,257.934
2023-09-24,4,881.9300000000001,220.48250000000002
2023-09-25,6,1054.23,175.705
2023-09-26,5,1651.75,330.35
2023-09-27,7,2210.38,315.7685714285714
2023-09-28,6,1249.32,208.22
2023-09-29,9,2144.97,238.32999999999998
2023-09-30,7,1395.0,199.28571428571428
2023-10-01,3,1335.92,445.3066666666667
2023-10-02,12,3837.92,319.82666666666665
2023-10-03,12,1855.37,154.61416666666665
2023-10-04,5,1044.49,208.898
2023-10-05,7,2071.56,295.9371428571429
2023-10-06,7,1439.8400000000001,205.6914285714286
2023-10-07,9,2045.02,227.22444444444443
2023-10-08,7,3993.5099999999998,570.5014285714285
2023-10-09,6,3361.59,560.265
2023-10-10,5,1499.89,299.978
2023-10-11,8,2317.18,289.6475
2023-10-12,11,3114.9,283.1727272727273
2023-10-13,8,1872.15,234.01875
2023-10-14,5,1959.28,391.856
2023-10-15,5,2902.45,580.49
2023-10-16,9,2658.25,295.3611111111111
2023-10-17,4,468.02,117.005
2023-10-18,5,738.04,147.608
2023-10-19,15,3905.46,260.364
2023-10-20,10,2303.9,230.39000000000001
2023-10-21,3,510.12,170.04
2023-10-22,10,3312.23,331.223
2023-10-23,7,2077.7,296.8142857142857
2023-10-24,4,1185.0,296.25
2023-10-25,6,1264.58,210.76333333333332
2023-10-26,9,3281.21,364.5788888888889
2023-10-27,7,1097.31,156.75857142857143
2023-10-28,9,1732.19,192.46555555555557
2023-10-29,8,1730.7,216.3375
2023-10-30,8,1851.66,231.4575
2023-10-31,9,2134.76,237.1955555555556
2023-11-01,13,5821.64,447.8184615384616
2023-11-02,5,1774.36,354.87199999999996
2023-11-03,7,2339.41,334.20142857142855
2023-11-04,7,5999.69,857.0985714285714
2023-11-05,9,3784.17,420.46333333333337
2023-11-06,12,6256.8,521.4
