item_id,order_id,drug_id,quantity,unit_price,line_total
96,35,47,3,46.95,140.85000000000002
97,35,8,3,116.62,349.86
98,36,54,1,23.73,23.73
99,36,19,3,17.7,53.099999999999994
100,37,25,3,29.86,89.58
101,37,45,2,66.02,132.04
102,37,40,4,19.31,77.24
103,37,15,2,54.98,109.96
104,38,27,2,20.97,41.94
105,39,36,1,30.3,30.3
106,39,21,1,89.89,89.89
107,39,54,1,23.02,23.02
108,40,5,4,36.15,144.6
109,41,42,3,67.82,203.45999999999998
110,42,52,4,23.4,93.6
111,43,47,3,44.33,132.99
112,43,4,2,44.52,89.04
113,43,46,3,53.1,159.3
114,44,52,1,22.7,22.7
115,44,19,3,18.98,56.94
116,44,21,3,87.42,262.26
117,44,39,1,34.21,34.21
118,44,32,2,17.94,35.88
119,45,33,4,43.52,174.08
120,45,11,4,40.26,161.04
121,45,26,1,17.13,17.13
122,45,10,4,18.15,72.6
123,45,14,2,37.93,75.86
124,46,44,3,73.3,219.89999999999998
125,46,18,2,69.44,138.88
126,46,2,4,88.39,353.56
127,46,47,3,43.13,129.39000000000001
128,47,46,1,58.52,58.52
129,47,13,3,50.1,150.3
130,47,50,4,15.36,61.44
131,48,30,2,99.43,198.86
132,48,46,2,59.12,118.24
133,49,50,2,14.88,29.76
134,49,33,1,43.74,43.74
135,49,3,3,27.23,81.69
136,50,38,2,69.1,138.2
137,50,1,3,12.41,37.230000000000004
138,51,51,4,40.53,162.12
139,51,41,1,46.93,46.93
140,51,34,3,31.93,95.78999999999999
141,52,6,1,21.74,21.74
142,53,45,2,64.8,129.6
143,53,32,4,17.9,71.6
144,53,44,3,73.53,220.59
145,53,27,3,21.65,64.94999999999999
146,54,21,2,88.08,176.16
147,55,1,4,12.36,49.44
148,56,32,4,17.37,69.48
149,56,53,1,41.43,41.43
150,56,7,2,15.06,30.12
151,56,10,1,17.84,17.84
152,57,4,3,48.7,146.10000000000002
153,57,45,2,68.54,137.08
154,57,14,4,35.41,141.64
155,58,9,2,54.01,108.02
156,58,28,4,61.1,244.4
157,58,27,4,23.57,94.28
158,59,34,2,31.68,63.36
159,59,16,2,407.76,815.52
160,60,26,3,18.63,55.89
161,60,53,4,44.4,177.6
162,60,23,1,97.3,97.3
163,60,29,3,34.47,103.41
164,60,31,2,174.83,349.66
165,61,19,4,19.33,77.32
166,62,27,3,21.98,65.94
167,62,10,2,17.27,34.54
168,63,13,4,46.16,184.64
169,64,16,1,392.15,392.15
170,64,27,1,22.98,22.98
171,65,35,4,16.37,65.48
172,66,35,1,16.29,16.29
173,67,2,1,84.01,84.01
174,68,23,1,93.2,93.2
175,69,28,2,60.33,120.66
176,69,52,2,21.21,42.42
177,69,20,4,13.67,54.68
178,70,22,2,229.75,459.5
179,70,42,1,66.04,66.04
180,71,43,3,86.99,260.96999999999997
181,71,22,1,216.46,216.46
182,72,16,1,383.29,383.29
183,73,9,4,58.85,235.4
184,73,37,4,60.13,240.52
185,73,1,1,11.97,11.97
186,73,47,4,46.83,187.32
187,74,43,2,88.59,177.18
188,74,55,3,30.04,90.12
189,74,41,4,48.03,192.12
190,75,30,3,101.09,303.27
191,76,53,4,39.92,159.68
192,76,47,1,45.26,45.26
193,77,26,3,18.85,56.550000000000004
194,77,36,4,27.0,108.0
195,78,14,1,36.53,36.53
196,78,39,2,30.41,60.82
197,78,42,2,71.22,142.44
198,79,15,1,53.36,53.36
199,79,24,4,21.93,87.72
200,80,48,3,96.0,288.0
201,81,54,2,21.38,42.76
202,81,35,3,14.3,42.900000000000006
203,82,55,2,32.42,64.84
204,82,49,4,25.5,102.0
205,82,15,1,50.79,50.79
206,82,48,4,98.88,395.52
207,83,49,4,25.83,103.32
208,83,45,3,69.8,209.39999999999998
209,83,17,4,145.11,580.44
210,83,7,4,16.24,64.96
211,83,27,1,24.01,24.01
212,84,21,3,91.05,273.15
213,84,15,2,50.25,100.5
214,84,12,1,66.7,66.7
215,84,2,3,83.64,250.92000000000002
216,85,54,2,23.17,46.34
217,86,27,2,21.6,43.2
218,86,30,4,95.38,381.52
219,87,40,4,19.7,78.8
220,87,42,3,62.17,186.51
221,87,14,4,35.54,142.16
222,87,13,4,50.19,200.76
223,88,14,4,36.45,145.8
224,88,52,2,21.3,42.6
225,89,17,2,137.85,275.7
226,90,24,2,20.74,41.48
227,90,48,1,93.5,93.5
228,90,4,4,43.46,173.84
229,91,20,4,14.71,58.84
230,92,19,2,17.5,35.0
231,92,30,4,96.18,384.72
232,93,31,3,190.49,571.47
233,93,34,3,33.67,101.01
234,93,2,3,85.15,255.45000000000002
235,93,8,3,126.96,380.88
236,93,40,3,17.35,52.050000000000004
237,94,8,1,117.94,117.94
238,95,22,4,212.65,850.6
239,95,4,3,42.79,128.37
240,95,19,4,18.48,73.92
241,96,40,2,18.82,37.64
242,97,55,3,31.49,94.47
243,97,29,1,34.62,34.62
244,97,19,4,19.38,77.52
245,97,15,1,53.65,53.65
246,98,4,4,48.87,195.48
247,98,18,4,72.44,289.76
248,99,51,3,40.03,120.09
249,100,2,1,93.46,93.46
250,100,45,1,65.2,65.2
251,101,35,3,15.85,47.55
252,101,23,3,101.01,303.03000000000003
253,101,41,4,46.02,184.08
254,102,25,3,27.76,83.28
255,103,13,3,51.99,155.97
256,103,52,1,23.06,23.06
257,103,39,1,31.88,31.88
258,103,54,1,21.34,21.34
259,104,26,4,18.55,74.2
260,104,53,1,41.18,41.18
261,104,29,1,35.93,35.93
262,104,39,1,32.2,32.2
263,104,4,1,45.62,45.62
264,105,2,1,83.32,83.32
265,105,7,3,15.51,46.53
266,105,22,2,240.83,481.66
267,106,27,3,21.39,64.17
268,107,32,3,18.94,56.82000000000001
269,107,14,1,37.57,37.57
270,108,47,4,48.47,193.88
271,108,30,1,91.31,91.31
272,108,3,3,30.66,91.98
273,108,16,4,413.8,1655.2
274,109,40,1,18.5,18.5
275,109,10,3,19.5,58.5
276,109,17,3,151.49,454.47
277,110,3,4,29.03,116.12
278,110,17,4,158.9,635.6
279,111,39,3,33.8,101.39999999999999
280,111,34,4,34.09,136.36
281,111,10,4,17.85,71.4
282,112,31,3,183.34,550.02
283,113,42,2,64.47,128.94
284,113,5,3,39.88,119.64000000000001
285,113,7,4,14.78,59.12
286,114,52,4,21.66,86.64
287,114,2,4,81.41,325.64
288,115,50,4,15.35,61.4
289,115,38,1,76.24,76.24
290,115,54,2,21.63,43.26
291,115,30,1,90.71,90.71
292,115,12,2,68.29,136.58
293,116,44,4,73.13,292.52
294,117,22,3,230.76,692.28
295,117,32,3,17.72,53.16
296,118,34,2,34.65,69.3
297,119,15,2,49.7,99.4
298,120,50,3,14.84,44.519999999999996
299,120,47,2,42.8,85.6
300,121,32,4,19.39,77.56
301,121,39,3,33.75,101.25
302,121,45,2,74.44,148.88
303,121,23,1,97.85,97.85
304,122,39,3,34.93,104.78999999999999
305,122,9,2,53.0,106.0
306,123,38,4,76.08,304.32
307,123,7,4,16.16,64.64
308,124,16,1,381.33,381.33
309,124,4,2,43.34,86.68
310,125,53,4,44.59,178.36
311,125,39,2,34.15,68.3
312,125,43,2,85.73,171.46
313,125,33,3,45.45,136.35000000000002
314,126,23,2,98.3,196.6
315,126,1,2,12.07,24.14
316,127,39,3,31.33,93.99
317,128,24,2,20.04,40.08
318,129,50,1,15.61,15.61
319,130,51,3,36.32,108.96000000000001
320,130,25,4,29.95,119.8
321,130,33,2,43.14,86.28
322,131,55,1,32.63,32.63
323,131,3,1,26.78,26.78
324,132,23,2,90.41,180.82
325,133,42,3,68.73,206.19
326,133,6,1,21.0,21.0
327,133,5,1,40.21,40.21
328,133,24,4,21.51,86.04
329,134,5,1,36.97,36.97
330,134,26,1,17.91,17.91
331,134,47,3,46.06,138.18
332,134,53,3,41.34,124.02000000000001
333,135,18,4,78.08,312.32
334,136,53,4,46.03,184.12
335,136,2,1,90.02,90.02
336,136,35,2,14.77,29.54
337,136,41,3,47.09,141.27
338,136,7,1,15.08,15.08
339,137,1,3,12.74,38.22
340,137,41,3,49.33,147.99
341,137,4,1,46.46,46.46
342,138,55,2,32.21,64.42
343,138,3,3,29.03,87.09
344,138,14,3,35.06,105.18
345,139,11,4,40.96,163.84
346,139,12,4,62.98,251.92
347,139,29,2,36.12,72.24
348,140,47,2,47.75,95.5
349,140,5,1,41.56,41.56
350,140,45,2,69.37,138.74
351,140,41,3,52.75,158.25
352,141,4,1,47.83,47.83
353,141,51,1,40.93,40.93
354,142,47,2,48.64,97.28
355,143,44,4,75.04,300.16
356,144,11,1,40.26,40.26
357,145,13,2,51.64,103.28
358,145,3,3,30.78,92.34
359,145,21,2,88.0,176.0
360,146,55,3,30.09,90.27
361,146,43,2,85.1,170.2
362,146,11,4,42.56,170.24
363,147,7,4,15.8,63.2
364,147,22,1,210.88,210.88
365,147,40,2,17.44,34.88
366,147,10,2,18.16,36.32
367,147,46,3,55.54,166.62
368,148,8,1,127.52,127.52
369,149,16,1,400.72,400.72
370,149,49,4,24.07,96.28
371,149,50,4,14.85,59.4
372,150,3,2,27.66,55.32
373,150,22,1,226.49,226.49
374,151,3,1,27.73,27.73
375,151,18,3,78.38,235.14
376,151,54,2,22.88,45.76
377,151,15,2,50.37,100.74
378,151,35,3,15.03,45.089999999999996
379,152,43,3,85.15,255.45000000000002
380,152,50,4,15.19,60.76
381,153,16,1,413.13,413.13
382,154,52,1,24.05,24.05
383,154,55,2,30.05,60.1
384,154,7,1,15.45,15.45
385,155,33,3,47.81,143.43
386,155,1,1,11.87,11.87
387,155,28,2,60.31,120.62
388,156,46,2,54.34,108.68
389,156,43,3,88.97,266.90999999999997
390,156,5,2,40.64,81.28
391,156,52,1,23.77,23.77
392,157,13,3,50.99,152.97
393,158,17,1,148.81,148.81
394,158,40,1,17.93,17.93
395,158,36,2,27.32,54.64
396,159,1,2,12.88,25.76
397,160,11,2,44.16,88.32
398,160,40,4,18.96,75.84
399,161,39,4,32.84,131.36
400,161,2,4,86.56,346.24
401,161,50,2,14.61,29.22
402,161,29,1,35.37,35.37
403,161,12,2,64.23,128.46
404,162,23,2,94.67,189.34
405,162,24,2,20.86,41.72
406,162,37,4,56.08,224.32
407,163,42,1,64.41,64.41
408,163,32,4,19.27,77.08
409,164,54,1,22.3,22.3
410,164,40,4,18.51,74.04
411,165,53,1,43.69,43.69
412,166,7,3,14.55,43.650000000000006
413,166,12,2,63.68,127.36
414,166,5,4,40.09,160.36
415,166,9,4,55.91,223.64
416,166,25,3,28.2,84.6
417,167,5,2,38.74,77.48
418,167,45,4,73.37,293.48
419,167,53,3,43.95,131.85000000000002
420,168,14,2,38.17,76.34
421,168,51,2,38.95,77.9
422,168,40,3,17.74,53.22
423,169,55,2,32.24,64.48
424,169,38,2,77.29,154.58
425,170,15,3,50.45,151.35000000000002
426,171,35,2,15.36,30.72
427,172,24,1,20.61,20.61
428,172,12,1,68.67,68.67
429,172,54,2,23.0,46.0
430,172,47,2,48.58,97.16
431,173,25,4,26.85,107.4
432,174,24,3,19.8,59.400000000000006
433,174,36,1,28.91,28.91
434,175,36,3,27.71,83.13
435,175,39,4,32.15,128.6
436,176,20,1,14.52,14.52
437,176,12,4,70.04,280.16
438,177,5,3,41.34,124.02000000000001
439,177,30,1,93.37,93.37
440,177,43,2,92.67,185.34
441,177,37,2,56.51,113.02
442,178,31,4,181.81,727.24
443,179,54,4,23.05,92.2
444,179,29,2,38.05,76.1
445,180,16,3,417.18,1251.54
446,180,51,4,37.43,149.72
447,180,50,4,15.95,63.8
448,181,41,2,47.15,94.3
449,181,26,4,18.96,75.84
450,181,28,3,63.25,189.75
451,182,8,3,119.02,357.06
452,182,51,2,37.58,75.16
453,183,8,4,130.4,521.6
454,183,15,4,50.28,201.12
455,184,13,1,49.83,49.83
456,185,19,2,17.14,34.28
457,186,49,2,27.4,54.8
458,186,13,2,47.36,94.72
459,187,24,3,19.04,57.12
460,187,34,4,30.68,122.72
461,187,33,3,47.18,141.54
462,188,18,1,69.0,69.0
463,188,54,2,21.03,42.06
464,188,14,1,37.17,37.17
465,188,8,2,118.93,237.86
466,188,5,1,41.25,41.25
467,189,52,1,21.42,21.42
468,189,43,2,95.37,190.74
469,189,15,2,55.27,110.54
470,190,40,2,19.08,38.16
471,190,21,1,86.45,86.45
472,191,22,2,224.83,449.66
473,192,20,3,15.06,45.18
474,192,14,1,33.81,33.81
475,192,47,4,47.78,191.12
476,193,17,3,146.2,438.59999999999997
477,194,17,2,149.32,298.64
478,194,14,1,33.6,33.6
479,194,44,4,77.33,309.32
480,195,14,3,34.82,104.46000000000001
481,196,45,3,73.65,220.95000000000002
482,197,45,4,68.59,274.36
483,197,43,4,85.77,343.08
484,198,1,4,11.9,47.6
485,198,32,2,17.58,35.16
486,198,48,3,99.15,297.45000000000005
487,199,27,3,22.17,66.51
488,199,26,2,19.36,38.72
489,200,51,3,36.4,109.19999999999999
490,200,22,1,235.31,235.31
491,201,14,2,34.26,68.52
492,201,35,4,15.64,62.56
493,202,8,2,114.2,228.4
494,203,8,3,119.31,357.93
495,203,55,4,29.89,119.56
496,203,31,2,182.74,365.48
497,203,2,1,88.69,88.69
498,204,23,1,100.61,100.61
499,204,2,4,84.06,336.24
500,204,22,1,236.83,236.83
501,204,20,4,14.9,59.6
502,205,55,3,32.24,96.72
503,205,29,4,38.43,153.72
504,206,37,3,55.97,167.91
505,206,13,3,47.8,143.39999999999998
506,207,14,3,33.96,101.88
507,207,30,1,96.06,96.06
508,207,6,2,23.47,46.94
509,208,35,2,16.17,32.34
510,209,54,1,22.65,22.65
511,209,9,4,58.9,235.6
512,209,4,2,47.29,94.58
513,210,55,1,29.61,29.61
514,210,42,3,64.54,193.62
515,211,9,4,57.15,228.6
516,211,25,1,28.46,28.46
517,212,43,4,88.03,352.12
518,212,5,3,40.69,122.07
519,212,28,3,61.27,183.81
520,213,42,4,63.23,252.92
521,213,26,2,17.34,34.68
522,213,4,4,43.22,172.88
523,214,2,1,90.97,90.97
524,215,8,4,115.43,461.72
525,215,9,2,52.85,105.7
526,215,30,3,94.19,282.57
527,216,1,1,11.71,11.71
528,217,44,4,74.67,298.68
529,218,2,1,82.05,82.05
530,219,18,1,73.03,73.03
531,219,19,1,19.17,19.17
532,219,52,2,23.27,46.54
533,219,11,1,45.7,45.7
534,220,10,4,17.47,69.88
535,220,13,4,47.56,190.24
536,220,2,3,82.1,246.29999999999998
537,221,26,1,19.12,19.12
538,221,46,3,57.87,173.60999999999999
539,221,36,4,30.76,123.04
540,221,15,4,54.56,218.24
541,221,30,2,95.13,190.26
542,222,44,2,69.21,138.42
543,222,52,3,22.02,66.06
544,222,25,3,28.36,85.08
545,223,52,4,22.19,88.76
546,223,21,2,85.95,171.9
547,223,22,1,224.26,224.26
548,224,17,1,151.72,151.72
549,224,31,3,176.7,530.0999999999999
550,224,36,2,27.38,54.76
551,225,15,1,49.7,49.7
552,226,43,4,90.51,362.04
553,226,51,3,40.07,120.21000000000001
554,226,6,1,21.92,21.92
555,226,23,2,98.8,197.6
556,227,41,4,49.43,197.72
557,227,49,2,24.18,48.36
558,228,10,4,18.6,74.4
559,228,53,2,44.25,88.5
560,228,40,4,17.24,68.96
561,229,19,2,17.58,35.16
562,229,11,4,40.21,160.84
563,229,33,2,42.81,85.62
564,229,9,3,58.68,176.04
565,230,43,3,85.05,255.14999999999998
566,230,48,1,95.04,95.04
567,230,20,2,15.17,30.34
568,231,2,1,89.82,89.82
569,232,47,4,47.81,191.24
570,232,51,2,36.79,73.58
571,232,38,2,69.32,138.64
572,232,20,4,14.02,56.08
573,232,32,2,19.41,38.82
574,233,2,1,92.9,92.9
575,233,54,3,22.02,66.06
576,233,51,3,41.57,124.71000000000001
577,233,33,2,45.19,90.38
578,234,30,4,96.52,386.08
579,234,35,2,14.72,29.44
580,234,6,2,23.35,46.7
581,234,54,3,21.8,65.4
582,235,37,3,59.56,178.68
583,236,38,4,76.56,306.24
584,236,16,2,362.39,724.78
585,237,6,2,23.07,46.14
586,237,29,4,38.31,153.24
587,237,5,4,40.19,160.76
588,237,37,4,56.56,226.24
589,238,30,3,95.65,286.95000000000005
590,238,4,4,48.2,192.8
591,238,3,4,27.68,110.72
592,239,5,4,41.05,164.2
593,240,1,2,11.84,23.68
594,240,31,4,181.54,726.16
595,240,50,4,16.39,65.56
596,240,54,4,23.25,93.0
597,241,16,3,378.52,1135.56
598,241,35,4,15.68,62.72
599,241,29,3,37.22,111.66
600,241,19,3,18.57,55.71
601,241,27,3,24.17,72.51
602,242,9,1,56.63,56.63
603,243,2,4,81.79,327.16
604,243,4,2,44.31,88.62
605,244,19,1,17.33,17.33
606,244,13,4,50.81,203.24
607,244,8,2,119.05,238.1
608,244,25,4,29.93,119.72
609,244,31,4,196.15,784.6
610,245,47,1,47.68,47.68
611,245,6,3,22.22,66.66
612,245,3,4,27.53,110.12
613,245,48,3,97.25,291.75
614,245,50,1,14.55,14.55
615,246,18,2,73.96,147.92
616,247,28,2,60.69,121.38
617,248,8,2,124.86,249.72
618,248,28,2,67.64,135.28
619,249,27,1,21.26,21.26
620,249,50,4,16.43,65.72
621,249,25,4,28.1,112.4
622,249,2,3,90.17,270.51
623,250,31,2,176.04,352.08
624,251,26,4,19.04,76.16
625,251,24,1,20.69,20.69
626,252,55,1,30.07,30.07
627,252,24,3,19.48,58.44
628,252,41,2,52.26,104.52
629,252,38,1,77.47,77.47
630,252,32,3,17.51,52.53
631,253,31,4,193.78,775.12
632,253,35,3,14.69,44.07
633,253,40,3,19.55,58.650000000000006
634,253,24,1,19.59,19.59
635,253,10,3,18.25,54.75
636,254,41,1,50.76,50.76
637,254,45,2,70.82,141.64
638,255,48,1,93.54,93.54
639,256,12,1,65.03,65.03
640,256,45,1,69.44,69.44
641,256,25,2,28.89,57.78
642,257,40,1,18.24,18.24
643,257,52,1,22.4,22.4
644,257,6,1,21.95,21.95
645,257,34,1,34.56,34.56
646,258,5,1,40.27,40.27
647,259,35,2,15.24,30.48
648,260,20,1,13.78,13.78
649,260,26,2,18.86,37.72
650,260,49,2,25.93,51.86
651,260,1,2,11.93,23.86
652,261,29,1,33.37,33.37
653,262,20,2,14.32,28.64
654,262,8,1,123.58,123.58
655,262,37,1,57.03,57.03
656,262,10,1,17.51,17.51
657,263,18,4,76.78,307.12
658,264,26,1,18.29,18.29
659,264,12,1,62.67,62.67
660,264,46,4,54.92,219.68
661,265,35,2,14.63,29.26
662,266,31,3,180.0,540.0
663,267,5,1,41.64,41.64
664,267,8,1,121.89,121.89
665,267,13,2,51.17,102.34
666,268,13,4,46.09,184.36
667,268,47,1,44.36,44.36
668,268,5,3,40.94,122.82
669,269,51,4,37.99,151.96
670,269,30,3,103.24,309.71999999999997
671,269,34,4,33.02,132.08
672,269,38,3,75.14,225.42000000000002
673,269,45,4,71.33,285.32
674,270,36,2,30.68,61.36
675,270,46,2,54.72,109.44
676,271,44,3,68.92,206.76
677,271,46,4,57.24,228.96
678,271,39,4,34.11,136.44
679,271,55,1,32.87,32.87
680,272,16,2,376.76,753.52
681,272,51,2,37.97,75.94
682,273,54,1,22.13,22.13
683,273,21,1,93.49,93.49
684,273,1,4,11.82,47.28
685,274,5,3,37.25,111.75
686,274,44,3,76.96,230.88
687,274,21,1,86.39,86.39
688,274,34,3,31.54,94.62
689,275,29,3,33.27,99.81
690,275,45,1,66.25,66.25
691,275,14,2,37.06,74.12
692,275,26,1,17.54,17.54
693,275,17,3,153.71,461.13
694,276,7,2,14.97,29.94
695,277,39,3,33.98,101.94
696,277,13,2,46.91,93.82
697,278,8,1,115.22,115.22
698,279,45,2,71.2,142.4
699,279,25,2,27.88,55.76
700,279,55,4,32.83,131.32
701,280,3,3,27.14,81.42
702,281,40,1,18.48,18.48
703,282,50,1,15.37,15.37
704,282,41,3,50.98,152.94
705,283,15,2,55.23,110.46
706,283,48,2,98.37,196.74
707,284,54,3,22.79,68.37
708,284,51,3,36.7,110.10000000000001
709,284,8,2,129.77,259.54
710,284,39,4,31.93,127.72
711,284,11,4,41.47,165.88
712,285,12,2,65.26,130.52
713,286,30,2,98.32,196.64
714,286,48,1,94.29,94.29
715,287,42,3,69.96,209.88
716,288,10,4,17.64,70.56
717,288,52,1,21.62,21.62
718,289,28,3,63.68,191.04
719,290,23,1,103.12,103.12
720,290,51,1,37.5,37.5
721,291,15,3,50.89,152.67000000000002
722,291,17,3,146.85,440.54999999999995
723,292,55,1,29.93,29.93
724,292,42,1,66.3,66.3
725,293,45,2,67.68,135.36
726,294,21,2,88.61,177.22
727,294,11,4,42.66,170.64
728,295,53,1,42.25,42.25
729,295,6,2,22.06,44.12
730,295,41,4,51.74,206.96
731,296,16,3,367.5,1102.5
732,296,39,4,31.36,125.44
733,296,37,3,60.34,181.02
734,297,53,1,42.89,42.89
735,297,46,1,60.14,60.14
736,298,22,2,212.74,425.48
737,299,38,1,68.7,68.7
738,300,50,3,15.14,45.42
739,300,40,3,17.47,52.41
740,300,21,3,86.75,260.25
741,300,28,1,68.1,68.1
742,300,6,3,24.07,72.21000000000001
743,301,36,4,29.91,119.64
744,301,38,4,74.38,297.52
745,302,45,3,66.91,200.73
746,302,24,4,20.56,82.24
747,303,30,3,98.6,295.79999999999995
748,303,54,3,23.28,69.84
749,304,16,3,395.94,1187.82
750,304,8,2,121.64,243.28
751,304,11,2,45.35,90.7
752,304,33,3,46.99,140.97
753,305,39,2,31.19,62.38
754,306,27,2,23.66,47.32
755,307,50,1,14.99,14.99
756,307,33,1,46.88,46.88
757,308,39,1,33.47,33.47
758,309,21,2,90.76,181.52
759,309,24,1,19.09,19.09
760,310,3,3,29.23,87.69
761,310,10,1,17.67,17.67
762,310,31,2,184.33,368.66
763,311,32,1,19.24,19.24
764,311,17,2,140.64,281.28
765,312,13,2,50.86,101.72
766,313,18,2,78.4,156.8
767,313,49,4,23.92,95.68
768,313,12,1,69.07,69.07
769,313,9,4,53.61,214.44
770,314,54,3,21.73,65.19
771,315,8,3,123.14,369.42
772,315,2,2,91.18,182.36
773,316,16,4,376.06,1504.24
774,316,42,1,62.69,62.69
775,316,1,1,12.08,12.08
776,317,54,3,22.71,68.13
777,317,19,2,19.58,39.16
778,318,29,1,33.58,33.58
779,319,15,1,52.5,52.5
780,320,20,4,14.92,59.68
781,320,2,2,85.74,171.48
782,320,34,3,30.63,91.89
783,321,16,4,364.57,1458.28
784,321,23,3,91.35,274.04999999999995
785,321,10,1,17.86,17.86
786,321,20,4,13.59,54.36
787,321,18,1,69.06,69.06
788,322,9,3,59.84,179.52
789,322,43,3,83.64,250.92000000000002
790,322,47,4,48.46,193.84
791,323,18,1,72.88,72.88
792,323,17,2,149.28,298.56
793,323,46,2,56.6,113.2
794,323,1,2,11.69,23.38
795,324,3,2,28.32,56.64
796,324,11,1,43.77,43.77
797,324,48,4,95.92,383.68
798,324,30,1,90.56,90.56
799,325,36,4,28.71,114.84
800,325,14,4,33.27,133.08
801,326,35,4,16.17,64.68
802,326,30,2,91.17,182.34
803,326,11,2,41.17,82.34
804,326,16,2,368.73,737.46
805,326,38,3,71.09,213.27
806,327,27,1,23.7,23.7
807,327,1,2,11.89,23.78
808,327,19,3,19.72,59.16
809,327,14,1,35.6,35.6
810,327,31,1,177.28,177.28
811,328,1,3,13.05,39.150000000000006
812,329,35,1,14.34,14.34
813,330,40,1,19.64,19.64
814,330,54,2,22.31,44.62
815,331,2,1,87.14,87.14
816,331,39,4,31.35,125.4
817,332,20,2,14.19,28.38
818,332,52,2,22.01,44.02
819,332,18,4,75.56,302.24
820,332,41,3,50.1,150.3
821,332,47,3,45.66,136.98
822,333,12,4,64.24,256.96
823,333,22,2,218.05,436.1
824,333,36,3,28.54,85.62
825,333,24,2,20.48,40.96
826,333,13,2,51.03,102.06
827,334,37,1,54.64,54.64
828,334,14,2,37.22,74.44
829,334,38,1,75.7,75.7
830,335,9,2,59.59,119.18
831,336,33,2,49.29,98.58
832,337,48,4,91.72,366.88
833,337,23,3,100.47,301.40999999999997
834,337,38,1,78.18,78.18
835,338,51,2,40.34,80.68
836,338,40,3,18.25,54.75
837,338,53,1,42.89,42.89
838,339,37,2,60.1,120.2
839,339,33,2,44.91,89.82
840,340,47,2,49.22,98.44
841,341,37,3,58.96,176.88
842,342,9,1,53.44,53.44
843,342,24,1,20.21,20.21
844,342,43,1,91.14,91.14
845,342,15,3,49.7,149.10000000000002
846,342,12,2,68.36,136.72
847,343,4,4,43.13,172.52
848,343,49,1,25.52,25.52
849,343,54,3,22.01,66.03
850,344,14,2,36.31,72.62
851,344,32,1,19.22,19.22
852,344,7,2,16.44,32.88
853,344,37,4,55.01,220.04
854,344,29,1,36.31,36.31
855,345,51,4,39.79,159.16
